 linenumber |                                          path                                          |                                               content                                                |  project  |      szz_date       | copypath | copyrevision | mergerev | branchrev | changeproperty | missed | furtherback | contentdiff | issample | diffjmessage | diffjlocation | refdiffindex | adjustmentindex | indexposrefac | indexfurtherback | indexchangepath | isrefac |                 revision                 |               fixrevision                | islargest | islatest |              startrevision               |                                       startpath                                        | startlinenumber |                                             startcontent                                             | isvalidfix | hasmatchmaszz | isvalidresult 
------------+----------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------+-----------+---------------------+----------+--------------+----------+-----------+----------------+--------+-------------+-------------+----------+--------------+---------------+--------------+-----------------+---------------+------------------+-----------------+---------+------------------------------------------+------------------------------------------+-----------+----------+------------------------------------------+----------------------------------------------------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------+------------+---------------+---------------
         17 | src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java                                 | -package com.yahoo.zookeeper.jmx;                                                                    | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java                                 |              17 | -package com.yahoo.zookeeper.jmx;                                                                    |            |               | 
         24 | java/jmx/com/yahoo/zookeeper/jmx/CommonNames.java                                      |     public static final String DOMAIN="com.yahoo.ZookeeperService";                                  | zookeeper | 2008-06-24 10:55:54 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             3 |                7 |               3 | f       | 083aaac1bb6f2d56f1034ca6c53e7c5cb4115c5a | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java                                 |              24 | -    public static final String DOMAIN="com.yahoo.ZookeeperService";                                 |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java                               | -package com.yahoo.zookeeper.jmx;                                                                    | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java                               |              17 | -package com.yahoo.zookeeper.jmx;                                                                    |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java                                 | -package com.yahoo.zookeeper.jmx;                                                                    | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java                                 |              17 | -package com.yahoo.zookeeper.jmx;                                                                    |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java                       | -package com.yahoo.zookeeper.jmx.server;                                                             | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java                       |              17 | -package com.yahoo.zookeeper.jmx.server;                                                             |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java                     | -package com.yahoo.zookeeper.jmx.server;                                                             | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java                     |              17 | -package com.yahoo.zookeeper.jmx.server;                                                             |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java                         | -package com.yahoo.zookeeper.jmx.server;                                                             | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java                         |              17 | -package com.yahoo.zookeeper.jmx.server;                                                             |            |               | 
         32 | java/jmx/com/yahoo/zookeeper/jmx/server/DataTreeBean.java                              |     com.yahoo.zookeeper.server.DataTree dataTree;                                                    | zookeeper | 2008-06-24 10:55:54 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             3 |                7 |               3 | f       | 083aaac1bb6f2d56f1034ca6c53e7c5cb4115c5a | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java                         |              32 | -    com.yahoo.zookeeper.server.DataTree dataTree;                                                   |            |               | 
         37 | java/jmx/com/yahoo/zookeeper/jmx/server/DataTreeBean.java                              |     public DataTreeBean(com.yahoo.zookeeper.server.DataTree dataTree){                               | zookeeper | 2008-06-24 10:55:54 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             3 |                7 |               3 | f       | 083aaac1bb6f2d56f1034ca6c53e7c5cb4115c5a | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java                         |              37 | -    public DataTreeBean(com.yahoo.zookeeper.server.DataTree dataTree){                              |            |               | 
